param_name,param_value,dataset,fold,classic_acc,classic_mcc,classic_prauc,classic_nodes,classic_depth,metacog_acc,metacog_mcc,metacog_prauc,metacog_nodes,metacog_depth,ratio_nodes
lambda_2,0.0,breast-w,1.0,0.9380952380952382,0.8627280228451526,0.8835042976347324,60.333333333333336,13.0,0.6571428571428571,0.0,0.3428571428571428,1.0,1.0,0.016574585635359115
lambda_2,0.0,diabetes,1.0,0.7489177489177489,0.44453231250111175,0.6062440162553826,109.66666666666667,21.0,0.6666666666666666,0.09428155562710093,0.38084014750681416,1.6666666666666667,1.3333333333333333,0.015197568389057751
lambda_2,0.0,iris,1.0,0.9777777777777779,0.9686868915129776,,14.333333333333334,6.333333333333333,0.3333333333333333,0.0,,1.0,1.0,0.06976744186046512
lambda_2,0.3,balance-scale,1.0,0.7671957671957671,0.6161560612612534,,159.0,14.0,0.4603174603174603,0.0,,1.0,1.0,0.006289308176100629
lambda_2,0.3,breast-w,1.0,0.9380952380952382,0.8627280228451526,0.8835042976347324,60.333333333333336,13.0,0.6571428571428571,0.0,0.3428571428571428,1.0,1.0,0.016574585635359115
lambda_2,0.3,diabetes,1.0,0.7489177489177489,0.44453231250111175,0.6062440162553826,109.66666666666667,21.0,0.6666666666666666,0.09428155562710093,0.38084014750681416,1.6666666666666667,1.3333333333333333,0.015197568389057751
lambda_2,0.3,iris,1.0,0.9777777777777779,0.9686868915129776,,14.333333333333334,6.333333333333333,0.3333333333333333,0.0,,1.0,1.0,0.06976744186046512
lambda_2,1.0,balance-scale,1.0,0.7671957671957671,0.6161560612612534,,159.0,14.0,0.4603174603174603,0.0,,1.0,1.0,0.006289308176100629
lambda_2,1.0,breast-w,1.0,0.9380952380952382,0.8627280228451526,0.8835042976347324,60.333333333333336,13.0,0.6571428571428571,0.0,0.3428571428571428,1.0,1.0,0.016574585635359115
lambda_2,1.0,diabetes,1.0,0.7489177489177489,0.44453231250111175,0.6062440162553826,109.66666666666667,21.0,0.6666666666666666,0.09428155562710093,0.38084014750681416,1.6666666666666667,1.3333333333333333,0.015197568389057751
lambda_2,1.0,iris,1.0,0.9777777777777779,0.9686868915129776,,14.333333333333334,6.333333333333333,0.3333333333333333,0.0,,1.0,1.0,0.06976744186046512
lambda_2,1.5,balance-scale,1.0,0.7671957671957671,0.6161560612612534,,159.0,14.0,0.4603174603174603,0.0,,1.0,1.0,0.006289308176100629
lambda_2,1.5,breast-w,1.0,0.9380952380952382,0.8627280228451526,0.8835042976347324,60.333333333333336,13.0,0.6571428571428571,0.0,0.3428571428571428,1.0,1.0,0.016574585635359115
lambda_2,1.5,diabetes,1.0,0.7489177489177489,0.44453231250111175,0.6062440162553826,109.66666666666667,21.0,0.6666666666666666,0.09428155562710093,0.38084014750681416,1.6666666666666667,1.3333333333333333,0.015197568389057751
lambda_2,1.5,iris,1.0,0.9777777777777779,0.9686868915129776,,14.333333333333334,6.333333333333333,0.3333333333333333,0.0,,1.0,1.0,0.06976744186046512
theta_accept,0.3,balance-scale,1.0,0.7671957671957671,0.6161560612612534,,159.0,14.0,0.4603174603174603,0.0,,1.0,1.0,0.006289308176100629
theta_accept,0.3,breast-w,1.0,0.9380952380952382,0.8627280228451526,0.8835042976347324,60.333333333333336,13.0,0.6571428571428571,0.0,0.3428571428571428,1.0,1.0,0.016574585635359115
theta_accept,0.3,diabetes,1.0,0.7489177489177489,0.44453231250111175,0.6062440162553826,109.66666666666667,21.0,0.6666666666666666,0.09428155562710093,0.38084014750681416,1.6666666666666667,1.3333333333333333,0.015197568389057751
theta_accept,0.3,iris,1.0,0.9777777777777779,0.9686868915129776,,14.333333333333334,6.333333333333333,0.3333333333333333,0.0,,1.0,1.0,0.06976744186046512
theta_accept,0.4,balance-scale,1.0,0.7671957671957671,0.6161560612612534,,159.0,14.0,0.4603174603174603,0.0,,1.0,1.0,0.006289308176100629
theta_accept,0.4,breast-w,1.0,0.9380952380952382,0.8627280228451526,0.8835042976347324,60.333333333333336,13.0,0.6571428571428571,0.0,0.3428571428571428,1.0,1.0,0.016574585635359115
theta_accept,0.4,diabetes,1.0,0.7489177489177489,0.44453231250111175,0.6062440162553826,109.66666666666667,21.0,0.6666666666666666,0.09428155562710093,0.38084014750681416,1.6666666666666667,1.3333333333333333,0.015197568389057751
theta_accept,0.4,iris,1.0,0.9777777777777779,0.9686868915129776,,14.333333333333334,6.333333333333333,0.3333333333333333,0.0,,1.0,1.0,0.06976744186046512
theta_accept,0.5,balance-scale,1.0,0.7671957671957671,0.6161560612612534,,159.0,14.0,0.4603174603174603,0.0,,1.0,1.0,0.006289308176100629
theta_accept,0.5,breast-w,1.0,0.9380952380952382,0.8627280228451526,0.8835042976347324,60.333333333333336,13.0,0.6571428571428571,0.0,0.3428571428571428,1.0,1.0,0.016574585635359115
theta_accept,0.5,diabetes,1.0,0.7489177489177489,0.44453231250111175,0.6062440162553826,109.66666666666667,21.0,0.6666666666666666,0.09428155562710093,0.38084014750681416,1.6666666666666667,1.3333333333333333,0.015197568389057751
theta_accept,0.5,iris,1.0,0.9777777777777779,0.9686868915129776,,14.333333333333334,6.333333333333333,0.3333333333333333,0.0,,1.0,1.0,0.06976744186046512
theta_accept,0.6,balance-scale,1.0,0.7671957671957671,0.6161560612612534,,159.0,14.0,0.4603174603174603,0.0,,1.0,1.0,0.006289308176100629
theta_accept,0.6,breast-w,1.0,0.9380952380952382,0.8627280228451526,0.8835042976347324,60.333333333333336,13.0,0.6571428571428571,0.0,0.3428571428571428,1.0,1.0,0.016574585635359115
theta_accept,0.6,diabetes,1.0,0.7489177489177489,0.44453231250111175,0.6062440162553826,109.66666666666667,21.0,0.6666666666666666,0.09428155562710093,0.38084014750681416,1.6666666666666667,1.3333333333333333,0.015197568389057751
theta_accept,0.6,iris,1.0,0.9777777777777779,0.9686868915129776,,14.333333333333334,6.333333333333333,0.3333333333333333,0.0,,1.0,1.0,0.06976744186046512
theta_reject,0.01,balance-scale,1.0,0.7671957671957671,0.6161560612612534,,159.0,14.0,0.4603174603174603,0.0,,1.0,1.0,0.006289308176100629
theta_reject,0.01,breast-w,1.0,0.9380952380952382,0.8627280228451526,0.8835042976347324,60.333333333333336,13.0,0.9571428571428572,0.9047002601848609,0.9026244588744589,9.666666666666666,4.0,0.1602209944751381
theta_reject,0.01,diabetes,1.0,0.7489177489177489,0.44453231250111175,0.6062440162553826,109.66666666666667,21.0,0.722943722943723,0.34943614131644457,0.4774410774410774,6.333333333333333,3.6666666666666665,0.05775075987841945
theta_reject,0.01,iris,1.0,0.9777777777777779,0.9686868915129776,,14.333333333333334,6.333333333333333,0.3333333333333333,0.0,,1.0,1.0,0.06976744186046512
theta_reject,0.05,balance-scale,1.0,0.7671957671957671,0.6161560612612534,,159.0,14.0,0.4603174603174603,0.0,,1.0,1.0,0.006289308176100629
theta_reject,0.05,breast-w,1.0,0.9380952380952382,0.8627280228451526,0.8835042976347324,60.333333333333336,13.0,0.7476190476190476,0.2801070520069074,0.5023680124223602,3.0,2.0,0.049723756906077346
theta_reject,0.05,diabetes,1.0,0.7489177489177489,0.44453231250111175,0.6062440162553826,109.66666666666667,21.0,0.722943722943723,0.34943614131644457,0.4774410774410774,3.0,2.0,0.02735562310030395
theta_reject,0.05,iris,1.0,0.9777777777777779,0.9686868915129776,,14.333333333333334,6.333333333333333,0.3333333333333333,0.0,,1.0,1.0,0.06976744186046512
theta_reject,0.1,balance-scale,1.0,0.7671957671957671,0.6161560612612534,,159.0,14.0,0.4603174603174603,0.0,,1.0,1.0,0.006289308176100629
theta_reject,0.1,breast-w,1.0,0.9380952380952382,0.8627280228451526,0.8835042976347324,60.333333333333336,13.0,0.6571428571428571,0.0,0.3428571428571428,1.0,1.0,0.016574585635359115
theta_reject,0.1,diabetes,1.0,0.7489177489177489,0.44453231250111175,0.6062440162553826,109.66666666666667,21.0,0.6883116883116883,0.20616774118420408,0.41835818502485167,2.3333333333333335,1.6666666666666667,0.02127659574468085
theta_reject,0.1,iris,1.0,0.9777777777777779,0.9686868915129776,,14.333333333333334,6.333333333333333,0.3333333333333333,0.0,,1.0,1.0,0.06976744186046512
theta_reject,0.2,balance-scale,1.0,0.7671957671957671,0.6161560612612534,,159.0,14.0,0.4603174603174603,0.0,,1.0,1.0,0.006289308176100629
theta_reject,0.2,breast-w,1.0,0.9380952380952382,0.8627280228451526,0.8835042976347324,60.333333333333336,13.0,0.6571428571428571,0.0,0.3428571428571428,1.0,1.0,0.016574585635359115
theta_reject,0.2,diabetes,1.0,0.7489177489177489,0.44453231250111175,0.6062440162553826,109.66666666666667,21.0,0.6666666666666666,0.09428155562710093,0.38084014750681416,1.6666666666666667,1.3333333333333333,0.015197568389057751
theta_reject,0.2,iris,1.0,0.9777777777777779,0.9686868915129776,,14.333333333333334,6.333333333333333,0.3333333333333333,0.0,,1.0,1.0,0.06976744186046512
