mode,accuracy,balanced_accuracy,f1_macro,mcc,roc_auc,pr_auc,avg_ns,avg_ts,nodes,leaves,depth,train_ms,infer_ms,dataset,fold
metacog,0.77,0.5952380952380952,0.5828442161897774,0.6827228404503779,0.8529945054945055,,0.7170163037360444,0.9635767683413152,7,4,4,735.5868816375732,8.78763198852539,nursery,39
classic,0.87,0.7476190476190477,0.7623760037789324,0.8096780646342757,0.9105079113326536,,0.0,0.0,163,82,12,202.7947902679444,8.925676345825195,nursery,40
metacog,0.75,0.569047619047619,0.5503663003663004,0.6657313573919524,0.836179052905857,,0.6871084516986418,0.9679945633388092,7,4,4,798.3307838439941,9.925365447998049,nursery,40
classic,0.86,0.7349137931034483,0.7317602040816327,0.8028293591715493,0.900509332976085,,0.0,0.0,167,84,12,207.0143222808838,7.627725601196289,nursery,41
metacog,0.77,0.5809386973180076,0.5677655677655677,0.6872801622272904,0.8442023419884457,,0.6787495831198863,0.9626946547365388,7,4,4,684.2861175537109,5.350112915039063,nursery,41
classic,0.91,0.8560823754789272,0.8353049330465552,0.8689980821356514,0.9224667690358784,,0.0,0.0,169,85,13,213.50669860839844,8.12387466430664,nursery,42
metacog,0.76,0.5706417624521073,0.5515548281505729,0.6841911904275447,0.8290410538908889,,0.5563291156637902,0.9523259217192164,9,5,5,846.8673229217529,6.235599517822266,nursery,42
classic,0.92,0.9377394636015326,0.9058061821219716,0.8834486176586064,0.9605011915026618,,0.0,0.0,163,82,14,205.817461013794,10.161161422729492,nursery,43
metacog,0.8,0.6051245210727969,0.5956072351421189,0.7309678834588995,0.8565945716870818,,0.6429906049234726,0.9653168228111566,7,4,4,646.8968391418457,6.712675094604492,nursery,43
classic,0.95,0.9619252873563218,0.9294387011725526,0.9272907591194282,0.9831137963101464,,0.0,0.0,177,89,15,218.22309494018555,8.296966552734375,nursery,44
metacog,0.8,0.6068007662835249,0.5987373737373738,0.7238585606663593,0.8610306589730944,,0.611766990083735,0.9692241634093686,7,4,4,613.3213043212891,6.096601486206055,nursery,44
classic,0.9,0.7744252873563219,0.7855971896955504,0.8542097544660948,0.9215589717518312,,0.0,0.0,175,88,13,205.4662704467773,7.867813110351562,nursery,45
metacog,0.78,0.592911877394636,0.5849826818406729,0.68711858829027,0.9029061396953184,,0.5698635977103879,0.9499241063452664,11,6,5,947.974443435669,3.384113311767578,nursery,45
classic,0.87,0.8266283524904213,0.8545114539504441,0.8110715338493243,0.9081073448292724,,0.0,0.0,167,84,15,190.26565551757807,8.42595100402832,nursery,46
metacog,0.76,0.5773467432950192,0.5685304304799604,0.6562645879180081,0.852705902731707,,0.6531361005991241,0.9658989005007051,7,4,4,578.301191329956,5.353927612304688,nursery,46
classic,0.86,0.7432950191570881,0.7549180327868853,0.7954809985729292,0.94735869308115,,0.0,0.0,173,87,15,188.89617919921875,8.62264633178711,nursery,47
metacog,0.73,0.548132183908046,0.5274193548387097,0.6310795971955762,0.8233266094374041,,0.6980705760620861,0.9658626008677637,5,3,3,515.4721736907959,5.954742431640625,nursery,47
classic,0.92,0.7866379310344828,0.7884491634491635,0.8831504701606397,0.9686376137134828,,0.0,0.0,169,85,14,178.6644458770752,8.63194465637207,nursery,48
metacog,0.76,0.5689655172413793,0.5456081081081081,0.6946280086123399,0.8299506535301393,,0.7589270698155712,0.964924927068252,7,4,4,556.4537048339844,2.811908721923828,nursery,48
classic,0.89,0.8601190476190477,0.8434515136797798,0.8413851516183416,0.9618330757783884,,0.0,0.0,161,81,13,179.4106960296631,6.181478500366211,nursery,49
metacog,0.73,0.5595238095238095,0.5315114709851552,0.6528571266216274,0.8232738095238095,,0.6609698931895156,0.9634539278719167,7,4,4,551.161527633667,2.673625946044922,nursery,49
classic,0.94,0.7340425531914894,0.7340425531914894,0.4680851063829787,0.8040780141843971,0.4033333333333333,0.0,0.0,81,41,21,5767.408132553101,12.597322463989258,pc1,0
metacog,0.94,0.5,0.4845360824742268,0.0,0.5,0.06,0.0847127223601458,0.9169443440117166,1,1,1,13892.769813537598,4.040241241455078,pc1,0
classic,0.9,0.4787234042553192,0.4736842105263157,-0.0515710623129396,0.875886524822695,0.2138888888888888,0.0,0.0,71,36,21,5181.453943252564,12.394189834594728,pc1,1
metacog,0.94,0.5,0.4845360824742268,0.0,0.5,0.06,0.1287148216635994,0.9621308438859748,1,1,1,13995.123863220217,4.039525985717773,pc1,1
