theta_accept,theta_reject,gamma,utility,mean_mcc,mean_accuracy,mean_nodes,mean_depth,mean_cr,stump_count,mean_train_ms
0.2,0.03,0.15,0.08941887365095752,0.3934374481978358,0.6645350877192983,3.7,2.3,0.1299071272656086,1,17556.145465373993
0.4,0.03,0.2,0.08941887365095752,0.3934374481978358,0.6645350877192983,3.7,2.3,0.1299071272656086,1,15629.465460777283
0.4,0.03,0.15,0.08941887365095752,0.3934374481978358,0.6645350877192983,3.7,2.3,0.1299071272656086,1,16203.120458126068
0.35,0.03,0.15,0.08941887365095752,0.3934374481978358,0.6645350877192983,3.7,2.3,0.1299071272656086,1,16792.470729351044
0.3,0.03,0.15,0.08941887365095752,0.3934374481978358,0.6645350877192983,3.7,2.3,0.1299071272656086,1,16066.248428821564
0.3,0.03,0.2,0.08941887365095752,0.3934374481978358,0.6645350877192983,3.7,2.3,0.1299071272656086,1,15646.269929409027
0.35,0.03,0.2,0.08941887365095752,0.3934374481978358,0.6645350877192983,3.7,2.3,0.1299071272656086,1,17012.580347061157
0.15,0.03,0.15,0.08941887365095752,0.3934374481978358,0.6645350877192983,3.7,2.3,0.1299071272656086,1,16118.528974056244
0.25,0.03,0.15,0.08941887365095752,0.3934374481978358,0.6645350877192983,3.7,2.3,0.1299071272656086,1,16625.10759830475
0.2,0.03,0.2,0.08941887365095752,0.3934374481978358,0.6645350877192983,3.7,2.3,0.1299071272656086,1,17043.699300289154
0.15,0.03,0.2,0.08941887365095752,0.3934374481978358,0.6645350877192983,3.7,2.3,0.1299071272656086,1,16419.994831085205
0.25,0.03,0.2,0.08941887365095752,0.3934374481978358,0.6645350877192983,3.7,2.3,0.1299071272656086,1,16918.177485466003
0.4,0.05,0.1,0.06702552368895197,0.3731163429310257,0.6487456140350878,3.5,2.25,0.11954590378963102,1,17555.952632427216
0.3,0.05,0.1,0.06702552368895197,0.3731163429310257,0.6487456140350878,3.5,2.25,0.11954590378963102,1,15872.871696949005
0.35,0.05,0.1,0.06702552368895197,0.3731163429310257,0.6487456140350878,3.5,2.25,0.11954590378963102,1,17915.281689167023
0.25,0.05,0.1,0.06702552368895197,0.3731163429310257,0.6487456140350878,3.5,2.25,0.11954590378963102,1,16469.615626335144
0.2,0.05,0.1,0.06702552368895197,0.3731163429310257,0.6487456140350878,3.5,2.25,0.11954590378963102,1,17217.59465932846
0.15,0.05,0.1,0.06702552368895197,0.3731163429310257,0.6487456140350878,3.5,2.25,0.11954590378963102,1,17315.99187850952
0.25,0.05,0.15,0.033769609205241274,0.34313911697190524,0.634856725146199,3.3,2.15,0.1031524611666802,1,16106.728315353394
0.15,0.05,0.15,0.033769609205241274,0.34313911697190524,0.634856725146199,3.3,2.15,0.1031524611666802,1,17249.51868057251
0.2,0.05,0.15,0.033769609205241274,0.34313911697190524,0.634856725146199,3.3,2.15,0.1031524611666802,1,16978.420054912567
0.4,0.05,0.15,0.033769609205241274,0.34313911697190524,0.634856725146199,3.3,2.15,0.1031524611666802,1,17236.110711097717
0.35,0.05,0.15,0.033769609205241274,0.34313911697190524,0.634856725146199,3.3,2.15,0.1031524611666802,1,16298.26283454895
0.3,0.05,0.15,0.033769609205241274,0.34313911697190524,0.634856725146199,3.3,2.15,0.1031524611666802,1,15569.426774978638
0.15,0.03,0.3,-0.009529612900134876,0.30070569573232997,0.6199444444444444,3.1,2.05,0.09882345683767588,1,14481.474077701569
0.35,0.03,0.3,-0.009529612900134876,0.30070569573232997,0.6199444444444444,3.1,2.05,0.09882345683767588,1,14806.825470924377
0.4,0.03,0.3,-0.009529612900134876,0.30070569573232997,0.6199444444444444,3.1,2.05,0.09882345683767588,1,13934.7949385643
0.25,0.03,0.3,-0.009529612900134876,0.30070569573232997,0.6199444444444444,3.1,2.05,0.09882345683767588,1,14892.977547645569
0.3,0.03,0.3,-0.009529612900134876,0.30070569573232997,0.6199444444444444,3.1,2.05,0.09882345683767588,1,13983.396756649017
0.2,0.03,0.3,-0.009529612900134876,0.30070569573232997,0.6199444444444444,3.1,2.05,0.09882345683767588,1,15390.839898586273
0.3,0.07,0.1,-0.011027205482538688,0.2993716354475549,0.6196944444444445,2.9,1.95,0.09800579534953197,1,13736.11466884613
0.35,0.07,0.1,-0.011027205482538688,0.2993716354475549,0.6196944444444445,2.9,1.95,0.09800579534953197,1,14614.58877325058
0.25,0.07,0.1,-0.011027205482538688,0.2993716354475549,0.6196944444444445,2.9,1.95,0.09800579534953197,1,14563.117778301239
0.2,0.07,0.1,-0.011027205482538688,0.2993716354475549,0.6196944444444445,2.9,1.95,0.09800579534953197,1,14839.33391571045
0.15,0.07,0.1,-0.011027205482538688,0.2993716354475549,0.6196944444444445,2.9,1.95,0.09800579534953197,1,15525.279438495636
0.4,0.07,0.1,-0.011027205482538688,0.2993716354475549,0.6196944444444445,2.9,1.95,0.09800579534953197,1,15139.874720573425
0.4,0.05,0.2,-0.03673380887058826,0.2767801882864668,0.6088333333333333,2.9,1.95,0.08243001421472507,1,15478.345084190369
0.35,0.05,0.2,-0.03673380887058826,0.2767801882864668,0.6088333333333333,2.9,1.95,0.08243001421472507,1,14560.328805446625
0.3,0.05,0.2,-0.03673380887058826,0.2767801882864668,0.6088333333333333,2.9,1.95,0.08243001421472507,1,13922.646582126617
0.25,0.05,0.2,-0.03673380887058826,0.2767801882864668,0.6088333333333333,2.9,1.95,0.08243001421472507,1,14622.498846054077
0.15,0.05,0.2,-0.03673380887058826,0.2767801882864668,0.6088333333333333,2.9,1.95,0.08243001421472507,1,15655.02895116806
0.2,0.05,0.2,-0.03673380887058826,0.2767801882864668,0.6088333333333333,2.9,1.95,0.08243001421472507,1,15332.018172740936
0.25,0.03,0.4,-0.03823140145299207,0.27544612800169166,0.6085833333333334,2.7,1.85,0.08161235272658116,1,14469.49359178543
0.25,0.07,0.15,-0.03823140145299207,0.27544612800169166,0.6085833333333334,2.7,1.85,0.08161235272658116,1,14369.279313087463
0.25,0.07,0.2,-0.03823140145299207,0.27544612800169166,0.6085833333333334,2.7,1.85,0.08161235272658116,1,13904.350447654724
0.15,0.07,0.2,-0.03823140145299207,0.27544612800169166,0.6085833333333334,2.7,1.85,0.08161235272658116,1,15020.707654953003
0.4,0.03,0.4,-0.03823140145299207,0.27544612800169166,0.6085833333333334,2.7,1.85,0.08161235272658116,1,13732.297909259796
0.4,0.07,0.2,-0.03823140145299207,0.27544612800169166,0.6085833333333334,2.7,1.85,0.08161235272658116,1,14966.73288345337
0.4,0.05,0.3,-0.03823140145299207,0.27544612800169166,0.6085833333333334,2.7,1.85,0.08161235272658116,1,14984.134888648987
0.4,0.07,0.15,-0.03823140145299207,0.27544612800169166,0.6085833333333334,2.7,1.85,0.08161235272658116,1,15157.52170085907
0.35,0.07,0.15,-0.03823140145299207,0.27544612800169166,0.6085833333333334,2.7,1.85,0.08161235272658116,1,14521.979987621307
0.35,0.07,0.2,-0.03823140145299207,0.27544612800169166,0.6085833333333334,2.7,1.85,0.08161235272658116,1,14242.844498157501
0.3,0.05,0.3,-0.03823140145299207,0.27544612800169166,0.6085833333333334,2.7,1.85,0.08161235272658116,1,13489.831578731537
0.3,0.07,0.15,-0.03823140145299207,0.27544612800169166,0.6085833333333334,2.7,1.85,0.08161235272658116,1,13742.672848701477
0.15,0.03,0.4,-0.03823140145299207,0.27544612800169166,0.6085833333333334,2.7,1.85,0.08161235272658116,1,15277.572417259216
0.15,0.05,0.3,-0.03823140145299207,0.27544612800169166,0.6085833333333334,2.7,1.85,0.08161235272658116,1,15413.530802726746
0.2,0.03,0.4,-0.03823140145299207,0.27544612800169166,0.6085833333333334,2.7,1.85,0.08161235272658116,1,15057.645046710968
0.15,0.07,0.15,-0.03823140145299207,0.27544612800169166,0.6085833333333334,2.7,1.85,0.08161235272658116,1,15220.843350887299
0.3,0.03,0.4,-0.03823140145299207,0.27544612800169166,0.6085833333333334,2.7,1.85,0.08161235272658116,1,13808.784532546997
0.35,0.05,0.3,-0.03823140145299207,0.27544612800169166,0.6085833333333334,2.7,1.85,0.08161235272658116,1,14428.68036031723
0.35,0.03,0.4,-0.03823140145299207,0.27544612800169166,0.6085833333333334,2.7,1.85,0.08161235272658116,1,15834.077548980713
0.3,0.07,0.2,-0.03823140145299207,0.27544612800169166,0.6085833333333334,2.7,1.85,0.08161235272658116,1,13612.76650428772
0.25,0.05,0.3,-0.03823140145299207,0.27544612800169166,0.6085833333333334,2.7,1.85,0.08161235272658116,1,14422.884058952332
