mode,accuracy,balanced_accuracy,f1_macro,mcc,roc_auc,pr_auc,avg_ns,avg_ts,nodes,leaves,depth,train_ms,infer_ms,dataset,fold,theta_accept,theta_reject,gamma
metacog,0.6666666666666666,0.6666666666666666,0.5666666666666667,0.5995445191824106,0.8387445887445887,,0.28708262043670824,0.9870125191045439,5,3,3,4387.428998947144,0.5202293395996094,wine,3,0.15,0.01,0.1
metacog,0.8888888888888888,0.9047619047619048,0.8885003885003885,0.8457943925233645,0.9235070485070486,,0.24828160209775718,0.9703026118717079,7,4,3,5808.273077011108,0.5877017974853516,wine,4,0.15,0.01,0.1
metacog,0.9473684210526315,0.9487012987012987,0.9449275362318841,0.8904905361044291,0.9512987012987013,0.9514896867838044,0.2128605955282232,0.9904241124341877,5,3,3,59029.46376800537,1.5707015991210938,breast_cancer,0,0.15,0.01,0.1
metacog,0.9649122807017544,0.9545454545454546,0.9623015873015872,0.9273353546322172,0.9318181818181818,0.9459459459459459,0.2972640601417964,0.9858737888548949,7,4,3,59366.42336845398,2.042531967163086,breast_cancer,1,0.15,0.01,0.1
metacog,0.9298245614035088,0.9146825396825397,0.922972972972973,0.8486684247915055,0.9034391534391535,0.9130116959064327,0.2784189762127132,0.9902492992693803,5,3,3,59086.80534362793,1.522064208984375,breast_cancer,2,0.15,0.01,0.1
metacog,0.8421052631578947,0.7956349206349207,0.8144665461121157,0.662595343916706,0.7982804232804233,0.8102115937789479,0.4125268785528514,0.9654808723040684,5,3,3,58406.14342689514,3.6711692810058594,breast_cancer,3,0.15,0.01,0.1
metacog,0.9298245614035088,0.9047619047619048,0.9210526315789473,0.8535639569308375,0.9047619047619048,0.9,0.32420614859132296,0.9799090550488756,5,3,3,59834.21301841736,1.718759536743164,breast_cancer,4,0.15,0.01,0.1
metacog,0.805,0.5760869565217391,0.5758795062802458,0.34845909958918564,0.8526962168266516,0.5659558744201101,0.2081333134198335,0.7837180233418739,19,10,9,24615.126848220825,7.31205940246582,adult,0,0.15,0.01,0.1
metacog,0.805,0.5913325804630153,0.6010434248887525,0.3371846188159856,0.7637634105025409,0.46100790513833995,0.4402523890379214,0.8766580354991211,7,4,4,15059.499740600586,9.286642074584961,adult,1,0.15,0.01,0.1
metacog,0.8,0.5652173913043478,0.5579133510167993,0.32177789389368455,0.7643280632411067,0.48775257298886787,0.23414150369523062,0.8540920656312319,13,7,5,19234.35616493225,10.953903198242188,adult,2,0.15,0.01,0.1
metacog,0.805,0.5760869565217391,0.5758795062802458,0.34845909958918564,0.7727978543195934,0.4844409937888199,0.2684270624371677,0.8229594286826631,7,4,4,15562.64042854309,5.352258682250977,adult,3,0.15,0.01,0.1
metacog,0.79,0.5511010728402033,0.5358090185676393,0.2521289991115018,0.8025832862789386,0.5020017468283223,0.20474645038841588,0.8460408415500065,19,10,9,20753.074169158936,6.962060928344727,adult,4,0.15,0.01,0.1
metacog,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.0,0.5,,1.0,0.9973710865078222,1,1,1,257.3120594024658,0.38170814514160156,iris,0,0.15,0.01,0.15
metacog,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.0,0.5,,1.0,0.9970757773947009,1,1,1,261.8086338043213,0.8695125579833984,iris,1,0.15,0.01,0.15
metacog,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.0,0.5,,1.0,0.9977269338811082,1,1,1,260.9555721282959,0.38909912109375,iris,2,0.15,0.01,0.15
metacog,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.0,0.5,,1.0,0.9961780853484691,1,1,1,264.74618911743164,0.7164478302001953,iris,3,0.15,0.01,0.15
metacog,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.0,0.5,,0.8413882683090157,0.9971051500737994,1,1,1,281.0559272766113,0.3788471221923828,iris,4,0.15,0.01,0.15
metacog,1.0,1.0,1.0,1.0,1.0,,0.2850215115593363,0.9703851012969208,7,4,3,6476.258277893066,1.127004623413086,wine,0,0.15,0.01,0.15
metacog,0.9444444444444444,0.9523809523809524,0.9440559440559441,0.9209401941068135,0.9810855810855811,,0.09676720274524803,0.992956148927088,9,5,5,7602.561235427856,0.6077289581298828,wine,1,0.15,0.01,0.15
metacog,0.6111111111111112,0.6,0.5185185185185185,0.5167423893288018,0.7494949494949495,,0.3774030947679678,0.9761711209664234,5,3,3,4440.05274772644,0.5657672882080078,wine,2,0.15,0.01,0.15
metacog,0.6666666666666666,0.6666666666666666,0.5666666666666667,0.5995445191824106,0.8387445887445887,,0.28708262043670824,0.9870125191045439,5,3,3,4379.69446182251,0.5156993865966797,wine,3,0.15,0.01,0.15
metacog,0.8888888888888888,0.9047619047619048,0.8885003885003885,0.8457943925233645,0.9235070485070486,,0.24828160209775718,0.9703026118717079,7,4,3,5914.51358795166,0.5671977996826172,wine,4,0.15,0.01,0.15
metacog,0.9473684210526315,0.9487012987012987,0.9449275362318841,0.8904905361044291,0.9512987012987013,0.9514896867838044,0.2128605955282232,0.9904241124341877,5,3,3,58835.243463516235,2.4003982543945312,breast_cancer,0,0.15,0.01,0.15
metacog,0.9649122807017544,0.9545454545454546,0.9623015873015872,0.9273353546322172,0.9318181818181818,0.9459459459459459,0.2972640601417964,0.9858737888548949,7,4,3,59126.222133636475,2.999544143676758,breast_cancer,1,0.15,0.01,0.15
metacog,0.9298245614035088,0.9146825396825397,0.922972972972973,0.8486684247915055,0.9034391534391535,0.9130116959064327,0.2784189762127132,0.9902492992693803,5,3,3,58736.72819137573,1.5621185302734375,breast_cancer,2,0.15,0.01,0.15
metacog,0.8421052631578947,0.7956349206349207,0.8144665461121157,0.662595343916706,0.7982804232804233,0.8102115937789479,0.4125268785528514,0.9654808723040684,5,3,3,58223.51932525635,3.2172203063964844,breast_cancer,3,0.15,0.01,0.15
metacog,0.9298245614035088,0.9047619047619048,0.9210526315789473,0.8535639569308375,0.9047619047619048,0.9,0.32420614859132296,0.9799090550488756,5,3,3,59250.82087516785,1.506805419921875,breast_cancer,4,0.15,0.01,0.15
metacog,0.805,0.5760869565217391,0.5758795062802458,0.34845909958918564,0.8526962168266516,0.5659558744201101,0.2081333134198335,0.7837180233418739,19,10,9,24545.68576812744,8.439302444458008,adult,0,0.15,0.01,0.15
metacog,0.805,0.5913325804630153,0.6010434248887525,0.3371846188159856,0.7637634105025409,0.46100790513833995,0.4402523890379214,0.8766580354991211,7,4,4,15090.301990509033,6.196737289428711,adult,1,0.15,0.01,0.15
metacog,0.8,0.5652173913043478,0.5579133510167993,0.32177789389368455,0.7643280632411067,0.48775257298886787,0.23414150369523062,0.8540920656312319,13,7,5,19143.31316947937,6.389379501342773,adult,2,0.15,0.01,0.15
metacog,0.805,0.5760869565217391,0.5758795062802458,0.34845909958918564,0.7727978543195934,0.4844409937888199,0.2684270624371677,0.8229594286826631,7,4,4,15466.3827419281,5.65791130065918,adult,3,0.15,0.01,0.15
metacog,0.795,0.5543478260869565,0.5392999606719479,0.29298753307495307,0.8045595708639187,0.49675191815856773,0.29144482238658037,0.9737562562239062,5,3,3,10649.389743804932,4.812479019165039,adult,4,0.15,0.01,0.15
metacog,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.0,0.5,,1.0,0.9973710865078222,1,1,1,263.80276679992676,0.4024505615234375,iris,0,0.15,0.01,0.2
metacog,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.0,0.5,,1.0,0.9970757773947009,1,1,1,307.79051780700684,0.35953521728515625,iris,1,0.15,0.01,0.2
