mode,accuracy,balanced_accuracy,f1_macro,mcc,roc_auc,pr_auc,avg_ns,avg_ts,nodes,leaves,depth,train_ms,infer_ms,dataset,fold
metacog,0.66,0.5,0.3975903614457831,0.0,0.5,0.34,0.0551514941814562,0.961565596338856,1,1,1,378520.37382125854,4.2133331298828125,MagicTelescope,17
classic,0.77,0.6760249554367201,0.6891471820516286,0.4670469847381044,0.7508912655971478,0.6173813762792173,0.0,0.0,77,39,21,65527.53376960754,12.996435165405272,MagicTelescope,18
metacog,0.66,0.5,0.3975903614457831,0.0,0.5,0.34,0.0627726301844751,0.9922579719547542,1,1,1,372030.4400920868,4.210948944091797,MagicTelescope,18
classic,0.72,0.6452762923351159,0.6527777777777778,0.3322595921860574,0.7511140819964348,0.5809373962350898,0.0,0.0,87,44,21,62850.651025772095,19.512176513671875,MagicTelescope,19
metacog,0.66,0.5,0.3975903614457831,0.0,0.5,0.34,0.0962519865733015,0.910405788663803,1,1,1,367808.1052303314,4.184484481811523,MagicTelescope,19
classic,0.79,0.732967032967033,0.7475658131987017,0.5203586134220901,0.7573626373626373,0.6678010142306163,0.0,0.0,99,50,21,62257.7269077301,12.575387954711914,MagicTelescope,20
metacog,0.65,0.5,0.3939393939393939,0.0,0.5,0.35,0.0451636039352681,0.9623330464763376,1,1,1,363868.7949180603,4.197359085083008,MagicTelescope,20
classic,0.81,0.7483516483516484,0.7668997668997668,0.5719118579265684,0.854945054945055,0.7189023790854454,0.0,0.0,89,45,21,66379.98652458191,12.8173828125,MagicTelescope,21
metacog,0.65,0.5,0.3939393939393939,0.0,0.5,0.35,0.0627726301844751,0.8736758517261377,1,1,1,369956.40230178833,4.302740097045898,MagicTelescope,21
classic,0.78,0.6989010989010989,0.7141372141372141,0.505119775854792,0.807032967032967,0.6901823586577489,0.0,0.0,83,42,21,60117.855072021484,12.918949127197266,MagicTelescope,22
metacog,0.65,0.5,0.3939393939393939,0.0,0.5,0.35,0.123084559714144,0.903036813858349,1,1,1,363419.3592071533,4.261970520019531,MagicTelescope,22
classic,0.71,0.6186813186813187,0.6183708382681932,0.3088185823383823,0.7276923076923076,0.5428407793377399,0.0,0.0,77,39,21,61508.84008407593,12.818098068237305,MagicTelescope,23
metacog,0.65,0.5,0.3939393939393939,0.0,0.5,0.35,0.0633448989614688,0.9448315437882678,1,1,1,368976.26972198486,4.196882247924805,MagicTelescope,23
classic,0.72,0.6395604395604395,0.6448503297818367,0.3393623940054054,0.7013186813186814,0.552360021030235,0.0,0.0,95,48,21,63782.82332420349,15.66457748413086,MagicTelescope,24
metacog,0.65,0.5,0.3939393939393939,0.0,0.5,0.35,0.1271273836005776,0.9133630394652344,1,1,1,370922.315120697,4.114866256713867,MagicTelescope,24
classic,0.73,0.6538461538461539,0.6614420062695925,0.3668996928526714,0.7364835164835166,0.5660302887035032,0.0,0.0,93,47,21,58871.25039100647,12.847185134887695,MagicTelescope,25
metacog,0.65,0.5,0.3939393939393939,0.0,0.5,0.35,0.2216098552067258,0.9485206418072388,1,1,1,366770.7703113556,5.444049835205078,MagicTelescope,25
classic,0.77,0.6760249554367201,0.6891471820516286,0.4670469847381044,0.8562834224598931,0.7152397929752732,0.0,0.0,75,38,21,66654.52265739441,13.054132461547852,MagicTelescope,26
metacog,0.66,0.5,0.3975903614457831,0.0,0.5,0.34,0.1010377431427386,0.9968320551537032,1,1,1,369447.51954078674,5.932331085205078,MagicTelescope,26
classic,0.84,0.786096256684492,0.8057309373482273,0.6346600775346786,0.8836898395721925,0.8042139631060565,0.0,0.0,81,41,21,60151.9615650177,12.68935203552246,MagicTelescope,27
metacog,0.66,0.5,0.3975903614457831,0.0,0.5,0.34,0.0991432267588758,0.9147257781009086,1,1,1,374156.8331718445,8.902311325073242,MagicTelescope,27
classic,0.72,0.6167557932263815,0.6162280701754386,0.3187914148735026,0.786096256684492,0.59480930833872,0.0,0.0,75,38,21,60354.92038726807,12.984037399291992,MagicTelescope,28
metacog,0.66,0.5,0.3975903614457831,0.0,0.5,0.34,0.1133224647139935,0.9968514181833404,1,1,1,366327.7816772461,4.399538040161133,MagicTelescope,28
classic,0.77,0.6974153297682709,0.7115987460815048,0.459197063960513,0.7751782531194296,0.6266943373093918,0.0,0.0,75,38,21,64626.18112564087,12.94255256652832,MagicTelescope,29
metacog,0.66,0.5,0.3975903614457831,0.0,0.5,0.34,0.4779039657696469,0.9601371811409268,1,1,1,365132.5731277466,4.189252853393555,MagicTelescope,29
classic,0.77,0.6912087912087912,0.7047875754075215,0.4747723007967709,0.8074725274725274,0.6763122823784691,0.0,0.0,101,51,21,60102.06747055054,12.62807846069336,MagicTelescope,30
metacog,0.65,0.5,0.3939393939393939,0.0,0.5,0.35,0.0282725833704746,0.9586517252789364,1,1,1,361046.1094379425,4.220724105834961,MagicTelescope,30
classic,0.77,0.7043956043956044,0.7178260336155073,0.4706885202404501,0.7426373626373626,0.6358011289622232,0.0,0.0,97,49,21,64325.10256767273,16.06440544128418,MagicTelescope,31
metacog,0.65,0.5,0.3939393939393939,0.0,0.5,0.35,0.0710971718201291,0.94388858294335,1,1,1,366715.3420448303,4.105329513549805,MagicTelescope,31
classic,0.71,0.6120879120879121,0.6080551425868361,0.3081528808046927,0.7461538461538461,0.5753559155621011,0.0,0.0,75,38,21,62130.43689727783,15.021800994873049,MagicTelescope,32
metacog,0.65,0.5,0.3939393939393939,0.0,0.5,0.35,0.1511137903665449,0.9557725184119292,1,1,1,369017.2743797302,3.562450408935547,MagicTelescope,32
classic,0.72,0.6065934065934067,0.592074592074592,0.3553113553113553,0.7474725274725276,0.6086205234782085,0.0,0.0,81,41,21,59442.31343269348,13.306140899658203,MagicTelescope,33
metacog,0.65,0.5,0.3939393939393939,0.0,0.5,0.35,0.0513452331021451,0.9574752693672754,1,1,1,360056.6668510437,4.242897033691406,MagicTelescope,33
classic,0.8,0.7274725274725274,0.7463216641298833,0.553133980780464,0.7819780219780219,0.7020393511408711,0.0,0.0,79,40,21,65438.5883808136,13.62919807434082,MagicTelescope,34
metacog,0.65,0.5,0.3939393939393939,0.0,0.5,0.35,0.0127533526797265,0.952528398705858,1,1,1,365522.399187088,4.156827926635742,MagicTelescope,34
classic,0.73,0.6538461538461539,0.6614420062695925,0.3668996928526714,0.6914285714285714,0.5562271062271062,0.0,0.0,97,49,21,63948.62318038941,15.740394592285156,MagicTelescope,35
metacog,0.65,0.5,0.3939393939393939,0.0,0.5,0.35,0.1133686286135165,0.95855664778077,1,1,1,365890.5835151672,4.105329513549805,MagicTelescope,35
classic,0.73,0.6528520499108734,0.6614420062695925,0.3555408418475304,0.7468805704099822,0.568688155494756,0.0,0.0,85,43,21,62091.25208854675,12.668132781982422,MagicTelescope,36
metacog,0.66,0.5,0.3975903614457831,0.0,0.5,0.34,0.0113983668609432,0.950078050899956,1,1,1,370418.58959198,4.118680953979492,MagicTelescope,36
classic,0.79,0.7339572192513368,0.7475658131987017,0.5118906968889915,0.8355614973262032,0.6834519339650753,0.0,0.0,89,45,21,59782.34934806824,12.415885925292969,MagicTelescope,37
metacog,0.66,0.5,0.3975903614457831,0.0,0.5,0.34,0.0372686607050933,0.9457849198742032,1,1,1,359391.0362720489,4.305601119995117,MagicTelescope,37
classic,0.73,0.6314616755793226,0.6350858224084336,0.3488072417664324,0.7736185383244206,0.5955047385921367,0.0,0.0,77,39,21,60239.32147026062,13.244867324829102,MagicTelescope,38
metacog,0.66,0.5,0.3975903614457831,0.0,0.5,0.34,0.0700712373878127,0.8897890361177201,1,1,1,363096.1589813232,4.1961669921875,MagicTelescope,38
classic,0.82,0.7566844919786097,0.7767857142857143,0.5870598929422364,0.8589572192513368,0.7416008660741903,0.0,0.0,85,43,21,59062.554121017456,12.319564819335938,MagicTelescope,39
metacog,0.66,0.5,0.3975903614457831,0.0,0.5,0.34,0.0391593246430964,0.9972974814902092,1,1,1,375492.7089214325,4.235744476318359,MagicTelescope,39
classic,0.76,0.6835164835164835,0.69558599695586,0.4462481873929347,0.7345054945054945,0.6031865913435417,0.0,0.0,103,52,21,62579.66899871826,12.53199577331543,MagicTelescope,40
metacog,0.65,0.5,0.3939393939393939,0.0,0.5,0.35,0.0451636039352681,0.9390173078529216,1,1,1,372959.75494384766,4.131793975830078,MagicTelescope,40
classic,0.73,0.6736263736263737,0.6815662224318906,0.3776016270314984,0.7435164835164835,0.5692100167997398,0.0,0.0,101,51,21,60292.49405860901,14.70184326171875,MagicTelescope,41
metacog,0.65,0.5,0.3939393939393939,0.0,0.5,0.35,0.0476819996959609,0.9531763435534149,1,1,1,375742.419719696,2.058267593383789,MagicTelescope,41
classic,0.79,0.7263736263736263,0.7423629002576371,0.5213001890835093,0.847032967032967,0.6979567449739341,0.0,0.0,73,37,21,61263.31949234009,12.376070022583008,MagicTelescope,42
